FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Wayne Ellington,Det,G,31.54,4,32.8,12.1,2,1,13,0.308,22,0.318,7.8,3.8,1.3,5.5,0.75,0,0.5,4.1,96.7,111.6
Langston Galloway,Det,G,27.51,4,27.5,13.7,0,0,9,0.222,25,0.36,7.8,3.8,1,5.3,0.5,1,0.5,4.5,97.5,104.5
Reggie Jackson,Det,G,29.16,4,27,28.4,7,0.857,44,0.432,21,0.429,17.8,3.3,7,49.8,0.75,0,1.25,11,119.1,102.9
Luke Kennard,Det,G,22.97,4,33.2,16.6,6,0.833,32,0.438,15,0.6,15,4,1.8,8.7,0.75,0.25,0.75,5.7,119.9,109.2
Kyle Korver,Uta,G-F,38.24,4,7.5,14.7,3,0.667,2,0.5,6,0.333,2.5,1.3,0,0,0,0,0.25,0,102.7,90.6
Thon Maker,Det,F,22.3,4,17.2,20.1,9,0.889,14,0.5,12,0,5.5,2.3,1,8.6,0,1,0.75,5.4,85.7,94.3
Ish Smith,Det,G,30.94,4,20.2,22.7,4,0.75,31,0.29,7,0.143,6,2.8,3.5,26.4,0.75,0.25,1,7.7,77.3,102.3
Rodions Kurucs,Bro,F,21.35,4,17.1,15.4,9,0.778,12,0.5,8,0.25,6.3,5,0.8,6.4,0.5,0,0.5,6.9,115,96.2
Sindarius Thornwell,Lac,G,24.58,4,3,20.9,0,0,3,0.333,3,0.333,1.3,1,0,0,0.25,0,0,0,,
Ivica Zubac,Lac,C,22.24,4,9.7,24.8,3,0.667,18,0.5,0,0,5,5.5,0.3,4.3,0.5,0.5,1,8.3,107.2,96.6
Jared Dudley,Bro,F,33.93,4,20.6,8.3,4,1,2,0.5,9,0.222,3,0.5,2.8,17.5,0.75,0.25,1,3.1,101,103.4
Rondae Hollis-Jefferson,Bro,F,24.44,4,15.6,30.5,25,0.8,32,0.469,1,1,13.3,3,1.5,17.6,0.25,1.25,0.75,10,125.1,102
Thabo Sefolosha,Uta,F,35.12,4,10.5,15.2,0,0,6,0.167,8,0.125,1.3,2,0.5,7.1,0,0,0.25,4.2,50.1,103.4
Furkan Korkmaz,Phi,G-F,21.89,4,8.9,25.2,5,0.8,10,0.3,8,0.375,4.8,1.5,1.3,21.5,0,0.25,0.25,9.5,105.6,99.4
Brad Wanamaker,Bos,G,29.89,4,4.3,27.4,4,0.75,6,0.333,1,1,2.5,0.3,0.8,30.7,0.25,0,0.5,7.8,104.9,113
Guerschon Yabusele,Bos,F,23.49,4,3.5,25.3,7,0.571,3,0.667,1,0,2,0.5,0.3,11.9,0,0.25,0.25,7.7,,
Amir Johnson,Phi,C-F,32.12,4,4.9,10.8,0,0,4,1,0,0,2,1.3,0.5,16.5,0.25,0,0.25,8.9,164.6,96.8
Ed Davis,Bro,C,30.03,3,13.6,10.8,2,1,10,0.7,0,0,5.3,6.3,0.7,7.8,0,0.33,0,8.4,161.7,85.5
Doug McDermott,Ind,F,27.44,3,9.7,18.5,4,0.5,3,0.667,7,0,2,1.7,1.3,21.8,0,0.33,0,6.8,86.5,107.3
Aaron Holiday,Ind,G,22.7,3,4.5,20.4,0,0,3,0.333,2,0.5,1.7,0,0,0,0,0,0.33,0,79.4,92.5
Raul Neto,Uta,G,27.07,3,6.5,13,0,0,5,0.2,1,0,0.7,1,0.3,7.6,0,0,0,3.7,48.3,100.5
Deonte Burton,Okc,G,25.37,3,1.5,47.5,0,0,3,0.333,2,0,0.7,0.7,0,0,0,0,0,0,,
Abdel Nader,Okc,F,25.72,3,1.6,17.8,0,0,2,0.5,0,0,0.7,0,0,0,0,0.33,0,0,,
Jose Calderon,Det,G,37.71,3,3.2,0,0,0,0,0,0,0,0,0,1.7,66,0.33,0,0,0,,
Glenn Robinson III,Det,G-F,25.43,3,11.9,20.9,4,1,7,0.429,8,0.125,4.3,2.3,0.7,8.4,0.67,0,0.33,6.4,92,96.1
Khyri Thomas,Det,G,23.1,3,5,34.5,1,1,8,0.625,4,0.25,4.7,0.7,0,0,0.67,0,0,0,108,106.8
Shabazz Napier,Bro,G,27.92,3,9.4,20.8,8,0.875,6,0.667,5,0.6,8,2.3,3.7,70.3,0.33,0,0,17.4,188.2,108.1
Theo Pinson,Bro,G-F,23.61,3,7.3,16.7,0,0,1,0,7,0.429,3,1,1,20.7,0.67,0,0.33,7.9,113.8,109.8
Melvin Frazier Jr.,Orl,G-F,22.79,3,4.9,17.8,2,0.5,5,0.4,0,0,1.7,1.3,0,0,0.33,0,0,0,97.5,107.9
Jerian Grant,Orl,G,26.68,3,4.7,36.2,1,1,3,0.667,7,0,1.7,1.3,1,40.6,0,0,0.33,11.1,62.1,102.5
Jarell Martin,Orl,F,25.06,3,6.1,24,2,0,2,1,7,0.286,3.3,0.7,0.3,12.2,0,0.33,0,5.8,106.6,110.1
Jarred Vanderbilt,Den,F,20.2,3,1.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0.33,0,0,,
Robert Williams III,Bos,C-F,21.66,3,4.2,9.9,2,1,2,0.5,0,0,1.3,2.3,0,0,0,0,0,0,159,95.6
Trey Lyles,Den,F,23.61,3,2.7,11,0,0,1,0,1,0,0,0.3,0.7,30.6,0,0,0,0,,
Skal Labissiere,Por,F,23.24,3,3.5,18.3,1,0,2,0.5,2,0,0.7,0,0,0,0,0,0,0,,
Damian Jones,Gol,C,23.96,4,2,15.4,2,0.5,1,1,0,0,0.8,0.5,0,0,0,0,0.25,0,,
DeMarcus Cousins,Gol,C,28.84,8,16.7,27,25,0.64,41,0.439,12,0.25,7.6,4.9,2.4,20.7,0.63,0.75,2.38,10.7,89.9,91.9
Grayson Allen,Uta,G,23.68,2,7.1,30.4,7,0.714,4,0.5,3,0,4.5,0.5,0,0,0,0,0,0,99.8,113
Ekpe Udoh,Uta,C-F,32.07,2,3.1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Tyrone Wallace,Lac,G,25.01,2,5.5,23.6,3,0.667,4,0.25,0,0,2,0.5,1.5,36.9,0,0,0.5,8.3,88.3,99.7
Zaza Pachulia,Det,C,35.34,2,10.9,15.2,2,0.5,6,0.333,0,0,2.5,4.5,0,0,0,0,0.5,0,74.1,94.1
Gary Clark,Hou,F,24.58,2,1.9,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,
Isaiah Hartenstein,Hou,F-C,21.11,2,1.2,38.2,0,0,2,1,0,0,2,0.5,0,0,0,0,0,0,,
Blake Griffin,Det,F,30.25,2,29.1,34.7,7,1,26,0.462,13,0.462,24.5,6,6,43.8,1,0,3,13.2,116.5,96
Dzanan Musa,Bro,G-F,20.1,2,7.3,16.7,0,0,2,1,1,0,2,0,0,0,1,0,1.5,0,55.7,82.7
Zhaire Smith,Phi,G,20.03,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,,
Marcus Smart,Bos,G,25.27,2,16.3,22.4,6,0.667,0,0,11,0.091,3.5,2,2,17.3,1.5,0,1.5,5.9,72.8,102.3
Chris Boucher,Tor,F,26.42,2,2.1,60,1,0,2,0.5,3,0.333,2.5,0.5,0,0,0,0.5,0,0,,
TJ Leaf,Ind,F,22.12,1,9.8,18.2,2,1,2,0,1,0,2,3,0,0,0,0,0,0,77.5,110.9
Jon Leuer,Det,F,30.09,1,4.9,20.9,1,0,2,0.5,0,0,2,0,0,0,0,0,0,0,80.2,96.4
Kyle O'Quinn,Ind,C,29.22,1,1.6,28.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Edmond Sumner,Ind,G,23.45,1,1.6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,
